"Timestamp","What is your gender?","Which age range do you fall under?","What is your current marital status?","What is your highest level of education?","What is your current employment status?","Which of the following is your primary telecom service provider?","On which of the following social media platforms do you have an account?","Which three of these options do you consider to be the biggest (possible) challenges while receiving customer support from a telecom company","Which of these social media platforms would you consider to be the best channel for sending a complaint to a telecom company?","On a scale of 1 - 5, how comfortable are you texting a chatbot when trying to receive customer support?","On a scale of 1 to 5, how content or satisfied are you with the customer support offered by your primary telecom service provider (that you chose in the first section)? ","On a scale 1 to 5, rate the average customer support offered by businesses in Uganda based on your experiences so far (complaints or requests for help)?","How essential to you would each of these features be in a customer support (care) platform? [should be a website]","How essential to you would each of these features be in a customer support (care) platform? [should be a mobile application]","How essential to you would each of these features be in a customer support (care) platform? [support live text chats with agents]","How essential to you would each of these features be in a customer support (care) platform? [support video call and screen sharing]","How essential to you would each of these features be in a customer support (care) platform? [support local languages]","How essential to you would each of these features be in a customer support (care) platform? [support sending images to customer support agent]","How essential to you would each of these features be in a customer support (care) platform? [offer a searchable self-help solutions knowledge base ]","How essential to you would each of these features be in a customer support (care) platform? [provide recommended solutions]","How essential to you would each of these features be in a customer support (care) platform? [show status on progress of my support request]","How essential to you would each of these features be in a customer support (care) platform? [schedule customer support appointments for later]","How essential to you would each of these features be in a customer support (care) platform? [rate and review customer support agents]","How essential to you would each of these features be in a customer support (care) platform? [have a discussion forum with fellow customers]","Which of these factors is most important to you when contacting customer support (customer care)?","How necessary do you think a mobile/web application dedicated to creating and managing your customer support complaints with various businesses, companies, institutions and government entities is to you? "
"2022/08/18 11:25:06 am GMT+3","Female","20 years - 35 years","Single","Secondary school","Student","AIRTEL","Email;WhatsApp;Twitter;Facebook;Telegram","Many steps have to be followed to talk to a customer care agent.;No/low availability of customer support agents late in the night.;No/low availability of customer support agents over the weekends.","Twitter","2","3","3","very essential","very essential","very essential","very essential","very essential","very essential","very essential","very essential","very essential","very essential","very essential","very essential","Ability to have my issue sorted on my own (without having to talk to an agent or someone)","Very necessary"
"2022/08/18 11:31:39 am GMT+3","Male","20 years - 35 years","Single","Undergraduate","Student","MTN","Email;WhatsApp;Telegram","Many steps have to be followed to talk to a customer care agent.;No/low availability of customer support agents late in the night.;No/low availability of customer support agents over the weekends.","Twitter","1","4","3","essential","not essential","essential","not essential","essential","essential","very essential","very essential","very essential","essential","essential","I am not sure","How easy it is for me to have my issue sorted.","I am not sure"
"2022/08/18 11:45:36 am GMT+3","Female","20 years - 35 years","Single","Undergraduate","Student","AIRTEL","Email;WhatsApp;Facebook","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;No/low availability of customer support agents late in the night.","Email","1","4","2","essential","very essential","not essential","not essential","very essential","essential","very essential","essential","not essential","I am not sure","essential","I am not sure","Speed at which my issue is sorted.","I am not sure"
"2022/08/18 11:49:24 am GMT+3","Female","20 years - 35 years","Single","Undergraduate","Student","Lyca mobile","Email;WhatsApp;Facebook;Telegram","No/late responses to my customer support complaints on social media.;Connected to an agent with low technical knowledge needed to handle my issue.;No/low availability of customer support agents late in the night.","WhatsApp","2","4","1","not essential","not essential","essential","not essential","very essential","very essential","very essential","very essential","very essential","very essential","very essential","very essential","Speed at which my issue is sorted.","I am not sure"
"2022/08/18 12:07:15 pm GMT+3","Female","20 years - 35 years","Single","Vocational college","Student","MTN","Email;WhatsApp;Twitter;Telegram","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;Connected to an agent with low technical knowledge needed to handle my issue.","Twitter","4","5","3","I am not sure","very essential","not essential","I am not sure","very essential","very essential","not essential","not essential","very essential","not essential","essential","I am not sure","Speed at which my issue is sorted.","Very necessary"
"2022/08/18 12:11:22 pm GMT+3","Male","20 years - 35 years","Single","Secondary school","Student","MTN","Email;WhatsApp;Twitter;Facebook;Telegram","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;No/low availability of customer support agents late in the night.","WhatsApp","4","4","3","very essential","I am not sure","very essential","I am not sure","very essential","very essential","very essential","very essential","very essential","very essential","very essential","very essential","How easy it is for me to have my issue sorted.","Very necessary"
"2022/08/18 12:16:59 pm GMT+3","Male","20 years - 35 years","Single","Undergraduate","Student","AIRTEL","Email;WhatsApp;Twitter;Facebook;Telegram","Many steps have to be followed to talk to a customer care agent.;Connected to an agent with low technical knowledge needed to handle my issue.;No/low availability of customer support agents late in the night.","Twitter","5","4","4","not essential","not essential","very essential","very essential","very essential","very essential","very essential","essential","very essential","essential","very essential","I am not sure","Ability to have my issue sorted on my own (without having to talk to an agent or someone)","Very necessary"
"2022/08/18 12:19:23 pm GMT+3","Female","20 years - 35 years","Single","Undergraduate","Student","MTN","Email;WhatsApp;Twitter;Telegram","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;Connected to an agent with low technical knowledge needed to handle my issue.","Twitter","5","4","4","not essential","essential","very essential","not essential","essential","essential","very essential","essential","very essential","very essential","very essential","not essential","Ability to have my issue sorted on my own (without having to talk to an agent or someone)","I am not sure"
"2022/08/18 12:20:48 pm GMT+3","Male","20 years - 35 years","Single","Undergraduate","Student","MTN","Email;WhatsApp;Twitter;Facebook;Telegram","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;No other ","WhatsApp","5","5","3","not essential","not essential","very essential","essential","essential","very essential","very essential","very essential","very essential","essential","very essential","very essential","How easy it is for me to have my issue sorted.","Very necessary"
"2022/08/18 12:32:25 pm GMT+3","Female","20 years - 35 years","Cohabiting","Post graduate and above","Unemployed, looking for work","MTN","Email;WhatsApp;Twitter;Facebook;Telegram","No/late responses to my customer support complaints on social media.;No/low availability of customer support agents late in the night.;No/low availability of customer support agents over the weekends.","Calls","5","4","4","not essential","not essential","essential","essential","very essential","essential","essential","very essential","very essential","essential","very essential","very essential","Speed at which my issue is sorted.","Very necessary"
